FID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
"793","0057479567",NORTH RUNNELS HOSPITAL,7821 TEXAS 153,WINTERS,TX,"79567",NOT AVAILABLE,(325) 754-4553,GENERAL ACUTE CARE,OPEN,"25",RUNNELS,"48399",USA,"31.949221514000044","-99.959135439999955","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,2018-08-11,IMAGERY/OTHER,2014-02-12,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"48",GOVERNMENT - DISTRICT/AUTHORITY,"-999","25.000000000000000",NOT AVAILABLE,Y
"1711","0158067572",GRISELL MEMORIAL HOSPITAL LTCU,"330 S VERMONT, PO BOX 268",RANSOM,KS,"67572",NOT AVAILABLE,NOT AVAILABLE,LONG TERM CARE,OPEN,"-999",NESS,"20135",USA,"38.636009767000075","-99.931247050999957","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.kdheks.gov/bhfr/fac_list/,2018-08-16,IMAGERY/OTHER,2015-05-30,NOT AVAILABLE,H068102,NOT AVAILABLE,"20",NOT AVAILABLE,"-999","-999.000000000000000",NOT AVAILABLE,N
"3535","0004158368",HEART OF AMERICA MEDICAL CENTER,800 S MAIN AVE,RUGBY,ND,"58368",NOT AVAILABLE,(701) 776-5261,CRITICAL ACCESS,OPEN,"25",PIERCE,"38069",USA,"48.363415573000054","-99.997241083999938","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.ndhealth.gov/hf/North_Dakota_Hospitals_Critical_access.htm,2018-08-09,IMAGERY/OTHER,2014-02-10,http://www.hamc.com,5046A,NOT AVAILABLE,"38",NON-PROFIT,"-999","25.000000000000000",NOT AVAILABLE,Y
"4353","0012167572",GRISELL MEMORIAL HOSPITAL,210 SOUTH VERMONT AVENUE,RANSOM,KS,"67572",NOT AVAILABLE,(785) 731-2231,GENERAL ACUTE CARE,OPEN,"46",NESS,"20135",USA,"38.635988624000049","-99.931152410999971","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.kdheks.gov/bhfr/fac_list/,2018-08-16,IMAGERY,2014-01-10,http://www.grisellmemorialhospital.org,H068002,GRISELL MEM HOSPITAL DISTRICT #1,"20",GOVERNMENT - DISTRICT/AUTHORITY,"-999","46.000000000000000",NOT AVAILABLE,N
"5106","0003658341",ST ALOISIUS MEDICAL CENTER,325 E BREWSTER ST,HARVEY,ND,"58341",NOT AVAILABLE,(701) 324-4651,CRITICAL ACCESS,OPEN,"25",WELLS,"38103",USA,"47.767096887000037","-99.932051263999938","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.ndhealth.gov/hf/North_Dakota_Hospitals_Critical_access.htm,2018-08-09,IMAGERY,2014-03-12,http://www.staloisius.com,5023A,NOT AVAILABLE,"38",NON-PROFIT,"-999","25.000000000000000",NOT AVAILABLE,Y
"5124","0005157442",AVERA GETTYSBURG HOSPITAL,606 EAST GARFIELD AVENUE,GETTYSBURG,SD,"57442",NOT AVAILABLE,(605) 765-2480,CRITICAL ACCESS,OPEN,"10",POTTER,"46107",USA,"45.013084894000031","-99.947791459999962","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,2018-08-10,IMAGERY,2014-02-10,http://www.avera.org/,NOT AVAILABLE,NOT AVAILABLE,"46",NON-PROFIT,"-999","10.000000000000000",TRH,Y
"5151","0005968825",CALLAWAY DISTRICT HOSPITAL,211 E KIMBALL ST,CALLAWAY,NE,"68825",NOT AVAILABLE,(308) 836-2228,CRITICAL ACCESS,OPEN,"12",CUSTER,"31041",USA,"41.291119315000060","-99.923157798999966","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dhhs.ne.gov/publichealth/Documents/Hospital%20Roster.pdf,2018-08-09,IMAGERY,2014-01-02,http://www.callaway-ne.com/hospital/,"281335",NOT AVAILABLE,"31",GOVERNMENT - DISTRICT/AUTHORITY,"-999","12.000000000000000",NOT AVAILABLE,N
"5329","0003173550",HARMON MEMORIAL HOSPITAL,400 EAST CHESTNUT STREET,HOLLIS,OK,"73550",NOT AVAILABLE,(580) 688-3363,GENERAL ACUTE CARE,OPEN,"25",HARMON,"40057",USA,"34.692209524000077","-99.914289044999975","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,2018-08-10,IMAGERY,2014-02-12,http://harmonhospital.com/,"2211",NOT AVAILABLE,"40",GOVERNMENT - LOCAL,"-999","25.000000000000000",LEVEL IV,Y
"6638","0006069130",COZAD COMMUNITY HOSPITAL,300 EAST 12TH ST,COZAD,NE,"69130",NOT AVAILABLE,(308) 784-2261,CRITICAL ACCESS,OPEN,"21",DAWSON,"31047",USA,"40.863608399000043","-99.982498788999976","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dhhs.ne.gov/publichealth/Documents/Hospital%20Roster.pdf,2018-08-09,IMAGERY,2014-01-02,http://www.cozadhealthcare.com,"281327",NOT AVAILABLE,"31",GOVERNMENT - DISTRICT/AUTHORITY,"-999","21.000000000000000",NOT AVAILABLE,Y
"7177","0007076821",BALLINGER MEMORIAL HOSPITAL,608 AVENUE B,BALLINGER,TX,"76821",NOT AVAILABLE,(325) 365-2531,CRITICAL ACCESS,OPEN,"25",RUNNELS,"48399",USA,"31.749972916000047","-99.962909782999986","622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,2018-08-11,IMAGERY/OTHER,2014-01-21,http://www.ballingerhospital.org,NOT AVAILABLE,NOT AVAILABLE,"48",GOVERNMENT - DISTRICT/AUTHORITY,"-999","25.000000000000000",LEVEL IV,Y
